lower carb soy and toasted sesame bread loaf 700g, 7.8, kg, 5.49, 0.7KG, 1
pumpkin muffins 4 pack, 1.00 , kg, 3.99, pumpkin muffins 4 pack, 1
braided brioche 400g, 17.5, kg, 6.99, 0.4KG, 1
chocolate chip cookies 250g, 18.4, kg, 4.60, 0.25KG, 1
vitastic turkish rolls 4 pack 450g, 8.0, kg, 3.60, 0.45KG, 1
turkish pide bread 400g, 9.0, kg, 3.60, 0.4KG, 1
crumpet splits 6 pack, 0.60 , kg, 3.59, crumpet splits 6 pack, 1
chia wraps 8 inch 384g, 7.8, kg, 3.00, 0.384KG, 1
chia seed bread loaf 400g, 15.0, kg, 5.99, 0.4KG, 1
multigrain english muffins 6 pack, 0.78 , kg, 4.70, multigrain english muffins 6 pack, 1
traditional butter waffles 4 pack 360g, 13.9, kg, 5.00, 0.36KG, 1
ciabatta rolls 240g, 17.5, kg, 4.20, 0.24KG, 1
pumpernickel bread 500g, 4.8, kg, 2.39, 0.5KG, 1
mini chocolate roll cake 5 pack 115g, 52.2, kg, 6.00, 0.115KG, 1
frozen belgian eclair 6 pack 180g, 40.9, kg, 7.37, 0.18KG, 1
mix max cakes 10 pack 350g, 15.7, kg, 5.50, 0.35KG, 1
blueberry muffins 4 pack, 1.13 , kg, 4.50, blueberry muffins 4 pack, 1
stoneground rye bread yeast free 620g, 9.7, kg, 6.00, 0.62KG, 1
stoneground sourdough hi fibre bread yeast free 620g, 9.7, kg, 6.00, 0.62KG, 1
pumpkin seeds bread 700g, 8.3, kg, 5.79, 0.7KG, 1
mini chocolate rolls 140g, NA, kg, N, 0.14KG, A
chocolate cake bars 130g, NA, kg, N, 0.13KG, A
coconut delight biscuits 250g, 17.0, kg, 4.25, 0.25KG, 1
ginger cake loaf 515g, 11.7, kg, 6.00, 0.515KG, 1
iced chocolate madeira cake 315g, 10.0, kg, 3.15, 0.315KG, 1
mini lemon and raspberry tarts 12 pack, 0.50 , kg, 6.00, mini lemon and raspberry tarts 12 pack, 1
lamington sponge roll 350g, 10.5, kg, 3.69, 0.35KG, 1
red velvet swirl cupcakes 4 pack, 1.13 , kg, 4.50, red velvet swirl cupcakes 4 pack, 1
lemon cake loaf 425g, 14.1, kg, 6.00, 0.425KG, 1
mini white french sticks 2 pack, 1.50 , kg, 3.00, mini white french sticks 2 pack, 1
lemon tarts 6 pack, 0.50 , kg, 3.00, lemon tarts 6 pack, 1
caramel indulgent donuts 4 pack, 1.25 , kg, 5.00, caramel indulgent donuts 4 pack, 1
new york style baked cheesecake 640g, 18.8, kg, 12.00, 0.64KG, 1
new york style baked cheesecake slices 2 pack 220g, 20.5, kg, 4.50, 0.22KG, 1
tiramisu cake 475g, 25.3, kg, 12.00, 0.475KG, 1
carrot cake 575g, 20.9, kg, 12.00, 0.575KG, 1
27% fruit hot cross buns 6 pack, 0.58 , kg, 3.50, 27% fruit hot cross buns 6 pack, 1
rich chocolate cake 500g, 24.0, kg, 12.00, 0.5KG, 1
fruit scones 6 pack, 0.77 , kg, 4.59, fruit scones 6 pack, 1
wholemeal sandwich bread loaf 680g, 2.9, kg, 2.00, 0.68KG, 1
mini iced chocolate cupcakes 9 pack, 0.52 , kg, 4.65, mini iced chocolate cupcakes 9 pack, 1
chocolate mud cupcakes 4 pack, 1.13 , kg, 4.50, chocolate mud cupcakes 4 pack, 1
light fruit cake 800g, 6.4, kg, 5.15, 0.8KG, 1
multigrain toast bread loaf 680g, 2.9, kg, 2.00, 0.68KG, 1
mini jam donuts 6 pack, 0.42 , kg, 2.50, mini jam donuts 6 pack, 1
unfilled rectangular sponge 450g, 11.7, kg, 5.25, 0.45KG, 1
white mud cake 600g, 10.0, kg, 6.00, 0.6KG, 1
unfilled round sponge 460g, 11.4, kg, 5.25, 0.46KG, 1
iced rainbow cupcakes 4 pack, 1.13 , kg, 4.50, iced rainbow cupcakes 4 pack, 1
mini custard tarts 6 pack, 0.75 , kg, 4.50, mini custard tarts 6 pack, 1
cheese rolls 4 pack, 0.75 , kg, 3.00, cheese rolls 4 pack, 1
chocolate chip shortbread 12 pack, 0.38 , kg, 4.50, chocolate chip shortbread 12 pack, 1
snow drops 200g, 10.0, kg, 2.00, 0.2KG, 1
hot dog rolls 6 pack, 0.33 , kg, 2.00, hot dog rolls 6 pack, 1
vol au vents 12 pack 60g, 0.29 , kg, 3.45, 0.06KG, 1
