chunky garlic 115g, 0.35 , kg, 3.98, 0.115KG, 1
thai herbs 80g, 0.49 , kg, 3.90, 0.08KG, 1
lemongrass 115g, 0.35 , kg, 3.98, 0.115KG, 1
hot chilli 115g, 0.35 , kg, 3.98, 0.115KG, 1
dill 80g, 0.49 , kg, 3.90, 0.08KG, 1
lightly dried chilli 22g, 222.7, kg, 4.90, 0.022KG, 1
salad box, 30.00 , kg, 30.00, salad box 1 each, 1
naked crystallised ginger 350g, 24.23 , kg, 8.48, 0.35KG, 1
beer nuts 220g, 13.64 , kg, 3.00, 0.22KG, 1
spiced peanut crunch 125g, 24.00 , kg, 3.00, 0.125KG, 1
chocolate macadamias and yoghurt cranberries 175g, 28.46 , kg, 4.98, 0.175KG, 1
honey cashews 180g, 27.67 , kg, 4.98, 0.18KG, 1
cashews and peanuts 200g, 24.90 , kg, 4.98, 0.2KG, 1
chocolate coated peanuts and sultanas 200g, 15.00 , kg, 3.00, 0.2KG, 1
cutie cube floral arrangement, 15.00 , kg, 15.00, cutie cube floral arrangement 1 each, 1
fresh flowers, 15.00 , kg, 15.00, fresh flowers 1 each, 1
outback floral bouquet, 15.00 , kg, 15.00, outback floral bouquet 1 each, 1
oriental lily flower bunch, 15.00 , kg, 15.00, oriental lily flower bunch 1 each, 1
3 melon fruit salad tub 500g, 11.00 , kg, 5.50, 0.5KG, 1
3 melon mix fruit salad tub 300g, 15.00 , kg, 4.50, 0.3KG, 1
2 melon fruit salad tub 300g, 15.00 , kg, 4.50, 0.3KG, 1
fresh flowers, 6.00 , kg, 6.00, fresh flowers 1 each, 1
fresh flowers, 12.00 , kg, 12.00, fresh flowers 1 each, 1
watermelon fruit salad tub 500g, 11.00 , kg, 5.50, 0.5KG, 1
pineapple fruit salad tub 500g, 11.00 , kg, 5.50, 0.5KG, 1
roasted salted macadamias 350g, 44.26 , kg, 15.49, 0.35KG, 1
french vanilla almonds 400g, 26.75 , kg, 10.70, 0.4KG, 1
crunchy combo sprouts  200g, 10.00 , kg, 2.00, 0.2KG, 1
honey roasted macadamias 400g, 40.00 , kg, 16.00, 0.4KG, 1
salted peanuts 750g, 9.33 , kg, 7.00, 0.75KG, 1
rockmelon and honeydew fruit salad tub 500g, 11.00 , kg, 5.50, 0.5KG, 1
rockmelon fruit salad tub 500g, 11.00 , kg, 5.50, 0.5KG, 1
creamy potato salad 800g, 9.38 , kg, 7.50, 0.8KG, 1
australian roasted peanuts in shell 500g, 12.00 , kg, 6.00, 0.5KG, 1
australian salted peanuts  400g, 11.50 , kg, 4.60, 0.4KG, 1
hawaiian sweet potatoes, 6.98 , kg, 2.09, hawaiian sweet potatoes 1 each, 1
kent pumpkin whole, 3.48 , kg, 14.96, kent pumpkin whole 1 each, 1
bi-colour corn 4 pack, 1.00 , kg, 3.98, bi-colour corn 4 pack, 1
purple carrots  500g, 4.96 , kg, 2.48, 0.5KG, 1
