woolworths  oregano leaves, 1.92, 0.01KG, 5.18, 27g, 1
hoyts paprika hot, 0.30, 0.01KG, 1.49, 50g, 1
hoyts paprika sweet, 0.24, 0.01KG, 2.42, 100g, 1
hoyts paprika sweet, 0.21, 0.01KG, 3.97, 190g, 1
hoyts paprika sweet, 0.20, 0.01KG, 3.98, 200g, 1
masterfoods paprika, 0.56, 0.01KG, 6.44, 115g, 1
masterfoods paprika ground, 0.76, 0.01KG, 2.67, 35g, 1
masterfoods paprika smoked, 0.93, 0.01KG, 3.54, 38g, 1
woolworths  paprika ground, 0.60, 0.01KG, 1.80, 30g, 1
woolworths  paprika smoked, 0.72, 0.01KG, 2.15, 30g, 1
hoyts parsley, 1.18, 0.01KG, 1.77, 15g, 1
masterfoods parsley flakes, 4.78, 0.01KG, 1.91, 4g, 1
woolworths  parsley flakes, 3.44, 0.01KG, 1.72, 5g, 1
woolworths  parsley flakes, 1.87, 0.01KG, 2.80, 15g, 1
hoyts pepper black ground, 0.40, 0.01KG, 4.03, 100g, 1
hoyts pepper black whole, 0.43, 0.01KG, 4.25, 100g, 1
hoyts pepper four colour mix, 0.78, 0.01KG, 3.92, 50g, 1
hoyts pepper four colour mix, 0.28, 0.01KG, 5.36, 190g, 1
hoyts cayenne pepper, 0.33, 0.01KG, 1.67, 50g, 1
